"STATE","ST_CASE","DAY_WEEK","HOUR","BODY_TYP","FATAL_COUNT"
"1","10344","4","17","80","1"
"1","10345","3","6","15","1"
"1","10346","7","0","82","1"
"1","10347","5","10","4","1"
"1","10349","4","14","21","1"
"1","10350","2","22","4","1"
"1","10351","4","19","14","1"
"1","10352","5","18","4","1"
"1","10353","5","19","31","1"
"1","10354","7","17","14","1"
"1","10355","7","19","5","1"
"1","10356","1","2","4","1"
"1","10357","3","22","4","1"
"1","10359","3","14","15","1"
"1","10361","5","23","4","1"
"1","10362","3","3","4","1"
"1","10363","3","23","80","1"
"1","10364","4","5","4","1"
"1","10365","4","21","14","1"
"1","10366","2","11","14","1"
"1","10367","5","13","31","1"
"1","10368","7","0","80","1"
"1","10369","1","2","99","1"
"1","10370","3","9","15","1"
"1","10371","3","10","4","1"
"1","10372","3","20","90","1"
"1","10373","1","8","31","1"
"1","10374","6","17","4","1"
"1","10375","3","18","30","1"
"1","10376","4","7","4","1"
"1","10377","6","6","31","1"
"1","10378","6","7","14","1"
"1","10379","5","15","4","1"
"1","10380","4","0","4","1"
"1","10381","6","22","66","1"
"1","10382","1","15","30","1"
"1","10383","3","17","80","1"
"1","10384","3","17","4","1"
"1","10385","4","10","4","1"
"1","10386","5","17","4","1"
"1","10387","5","19","2","1"
"1","10388","6","17","3","1"
"1","10389","1","1","4","1"
"1","10390","7","22","2","1"
"1","10391","7","12","4","1"
"1","10392","3","19","80","1"
"1","10393","6","10","14","1"
"1","10394","7","2","31","1"
"1","10395","7","12","31","1"
"1","10396","7","17","31","1"
"1","10397","1","5","5","1"
"1","10398","1","14","31","1"
"1","10399","1","19","6","1"
"1","10400","2","15","4","1"
"1","10401","4","23","30","1"
"1","10402","7","6","4","1"
"1","10403","3","16","31","1"
"1","10404","6","22","30","1"
"1","10405","2","20","80","1"
"1","10406","7","17","90","1"
"1","10407","1","21","4","1"
"1","10408","7","23","31","1"
"1","10409","5","19","1","1"
"1","10410","7","12","4","1"
"1","10411","1","9","4","1"
"1","10412","1","2","83","1"
"1","10413","1","2","99","1"
"1","10414","3","5","6","1"
"1","10415","3","19","31","1"
"1","10416","6","17","4","1"
"1","10417","6","17","20","1"
"1","10418","6","22","4","1"
"1","10420","1","4","4","1"
"1","10421","7","21","31","1"
"1","10422","5","20","2","1"
"1","10424","6","14","14","1"
"1","10425","3","14","4","1"
"1","10426","3","14","63","1"
"1","10427","4","18","31","1"
"1","10428","4","19","4","1"
"1","10429","4","5","31","1"
"1","10430","5","15","14","1"
"1","10431","1","1","15","1"
"1","10432","4","17","31","1"
"1","10433","5","1","80","1"
"1","10434","5","16","14","1"
"1","10435","6","15","15","1"
"1","10436","2","12","31","1"
"1","10437","1","16","4","1"
"1","10438","5","15","66","1"
"1","10439","1","1","15","1"
"1","10440","4","12","31","1"
"1","10441","3","7","40","1"
"1","10442","6","6","30","1"
"1","10443","6","9","31","1"
"1","10444","6","23","4","1"
"1","10445","7","4","6","1"
"1","10446","1","11","4","1"
"1","10447","7","0","31","1"
"1","10448","4","17","31","1"
"1","10449","6","22","31","1"
"1","10450","7","13","4","1"
"1","10451","7","20","30","1"
"1","10452","1","4","4","1"
"1","10453","6","7","2","1"
"1","10454","3","12","4","1"
"1","10456","7","9","31","1"
"1","10457","2","13","15","1"
"1","10458","1","14","15","1"
"1","10459","7","2","3","1"
"1","10460","3","10","4","1"
"1","10461","4","23","15","1"
"1","10462","5","19","80","1"
"1","10463","5","9","3","1"
"1","10464","4","14","31","1"
"1","10465","1","20","14","1"
"1","10466","2","12","66","1"
"1","10467","7","12","6","1"
"1","10468","4","13","66","1"
"1","10469","1","15","4","1"
"1","10470","6","13","66","1"
"1","10471","2","3","4","1"
"1","10472","3","7","4","1"
"1","10474","2","8","21","1"
"1","10475","6","22","14","1"
"1","10476","7","8","30","1"
"1","10477","2","10","14","1"
"1","10478","5","12","31","1"
"1","10479","6","4","30","1"
"1","10480","7","19","4","1"
"1","10481","1","15","15","1"
"1","10482","1","11","4","1"
"1","10483","7","15","4","1"
"1","10484","6","16","40","1"
"1","10485","7","21","4","1"
"1","10486","3","18","31","1"
"1","10487","3","22","4","1"
"1","10488","3","19","16","1"
"1","10489","6","21","20","1"
"1","10491","7","3","14","1"
"1","10492","2","17","5","1"
"1","10493","2","18","4","1"
"1","10494","2","15","80","1"
"1","10495","1","21","4","1"
"1","10496","4","22","31","1"
"1","10497","3","5","66","1"
"1","10498","6","22","31","1"
"1","10499","7","18","31","1"
"1","10500","5","20","4","1"
"1","10501","7","1","31","1"
"1","10502","1","20","6","1"
"1","10503","4","21","66","1"
"1","10504","4","22","4","1"
"1","10505","5","9","5","1"
"1","10506","5","17","4","1"
"1","10507","1","23","4","1"
"1","10508","1","4","31","1"
"1","10509","1","3","80","1"
"1","10510","1","11","31","1"
"1","10511","2","0","14","1"
"1","10512","2","9","66","1"
"1","10513","2","17","4","1"
"1","10514","2","1","31","1"
"1","10515","4","19","4","1"
"1","10516","5","11","20","1"
"1","10517","7","0","14","1"
"1","10518","3","23","14","1"
"1","10520","6","22","20","1"
"1","10521","3","14","30","1"
"1","10522","2","12","15","1"
"1","10524","3","8","31","1"
"1","10525","5","11","4","1"
"1","10526","7","21","15","1"
"1","10527","7","22","31","1"
"1","10528","1","0","14","1"
"1","10529","5","5","2","1"
"1","10530","6","1","80","1"
"1","10531","1","22","4","1"
"1","10532","2","5","30","1"
"1","10533","2","21","31","1"
"1","10534","4","5","14","1"
"1","10535","5","9","4","1"
"1","10536","6","4","6","1"
"1","10537","5","14","14","1"
"1","10538","1","1","15","1"
"1","10539","5","4","4","1"
"1","10540","6","23","31","1"
"1","10542","5","16","4","1"
"1","10543","7","21","4","1"
"1","10544","2","18","14","1"
"1","10545","2","13","4","1"
"1","10546","4","7","4","1"
"1","10547","4","19","4","1"
"1","10548","5","11","20","1"
"1","10549","5","11","31","1"
"1","10550","7","4","21","1"
"1","10551","7","19","3","1"
"1","10552","7","20","30","1"
"1","10553","1","4","4","1"
"1","10554","4","15","80","1"
"1","10555","4","19","80","1"
"1","10556","5","13","5","1"
"1","10557","5","22","4","1"
"1","10558","6","8","4","1"
"1","10559","6","22","99","1"
"1","10560","7","9","4","1"
"1","10561","1","13","3","1"
"1","10562","1","14","80","1"
"1","10563","4","15","31","1"
"1","10564","5","19","4","1"
"1","10565","6","22","66","1"
"1","10566","6","11","14","1"
"1","10567","6","17","31","1"
"1","10568","7","3","4","1"
"1","10569","7","3","99","1"
"1","10570","1","0","4","1"
"1","10571","2","13","31","1"
"1","10572","2","2","14","1"
"1","10573","6","0","15","1"
"1","10574","6","18","30","1"
"1","10575","7","5","31","1"
"1","10576","4","4","4","1"
"1","10577","1","16","80","1"
"1","10578","6","20","4","1"
"1","10579","3","9","6","1"
"1","10580","3","8","66","1"
"1","10581","3","14","4","1"
"1","10582","5","2","4","1"
"1","10583","4","7","4","1"
"1","10584","1","20","4","1"
"1","10585","2","5","14","1"
"1","10586","5","18","4","1"
"1","10587","2","6","6","1"
"1","10588","3","21","15","1"
"1","10589","5","7","14","1"
"1","10590","6","23","99","1"
"1","10591","2","19","15","1"
"1","10592","7","2","31","1"
"1","10594","2","11","14","1"
"1","10595","4","11","30","1"
"1","10596","5","12","14","1"
"1","10597","2","18","30","1"
"1","10598","2","9","63","1"
"1","10599","2","17","14","1"
"1","10600","3","15","4","1"
"1","10601","5","5","3","1"
"1","10602","4","7","14","1"
"1","10603","6","0","4","1"
"1","10604","5","17","4","1"
"1","10605","5","6","30","1"
"1","10606","1","22","4","1"
"1","10607","3","19","30","1"
"1","10608","2","10","66","1"
"1","10609","5","19","14","1"
"1","10610","5","8","15","1"
"1","10612","1","15","80","1"
"1","10613","6","2","31","1"
"1","10614","7","5","4","1"
"1","10615","7","23","14","1"
"1","10616","1","1","30","1"
"1","10617","1","2","4","1"
"1","10618","2","16","31","1"
"1","10619","7","14","4","1"
"1","10620","1","0","30","1"
"1","10621","1","2","31","1"
"1","10622","2","6","50","1"
"1","10623","4","8","20","1"
"1","10624","1","17","6","1"
"1","10625","1","2","2","1"
"1","10626","4","20","5","1"
"1","10627","6","13","63","1"
"1","10628","6","14","4","1"
"1","10629","7","17","99","1"
"1","10630","1","2","4","1"
"1","10631","5","14","4","1"
"1","10632","5","16","2","1"
"1","10633","6","21","6","1"
"1","10634","7","18","4","1"
"1","10635","7","20","4","1"
"1","10636","1","10","4","1"
"1","10637","1","1","2","1"
"1","10638","7","18","4","1"
"1","10639","4","18","14","1"
"1","10640","5","9","31","1"
"1","10641","6","21","4","1"
"1","10642","6","0","4","1"
"1","10643","6","0","31","1"
"1","10645","2","7","62","1"
"1","10646","6","7","66","1"
"1","10647","6","17","4","1"
"1","10648","7","6","4","1"
"1","10649","6","12","6","1"
"1","10650","7","1","14","1"
"1","10651","5","20","4","1"
"1","10652","1","19","31","1"
"1","10653","5","99","4","1"
"1","10654","3","6","31","1"
"1","10655","4","15","4","1"
"1","10657","1","10","80","1"
"1","10658","3","19","5","1"
"1","10659","5","1","31","1"
"1","10660","6","5","31","1"
"1","10661","6","17","4","1"
"1","10662","7","18","4","1"
