SPEEDREL,STATE,FATALS,MDRDSTRD,DAY_WEEK,ST_CASE
6,1,1,100,2,10405
3,1,1,99,7,10406
4,1,1,3,1,10407
3,1,1,99,7,10408
4,1,1,99,5,10409
0,1,1,0,7,10410
0,1,1,99,1,10411
3,1,1,99,1,10412
9,1,1,99,1,10413
0,1,1,0,3,10414
0,1,1,0,3,10415
0,1,1,0,6,10416
0,1,1,99,6,10417
0,1,1,6,6,10418
0,1,2,99,6,10419
0,1,1,99,1,10420
0,1,1,99,7,10421
0,1,1,0,5,10422
3,1,2,99,4,10423
0,1,1,3,6,10424
0,1,1,99,3,10425
0,1,1,0,3,10426
3,1,1,0,4,10427
4,1,1,0,4,10428
9,1,1,99,4,10429
4,1,1,99,5,10430
3,1,1,99,1,10431
9,1,1,99,4,10432
0,1,1,6,5,10433
3,1,1,99,5,10434
4,1,1,99,6,10435
0,1,1,0,2,10436
0,1,1,0,1,10437
0,1,1,99,5,10438
4,1,1,99,1,10439
0,1,1,0,4,10440
0,1,1,92,3,10441
9,1,1,0,6,10442
0,1,1,0,6,10443
9,1,1,99,6,10444
0,1,1,0,7,10445
0,1,1,15,1,10446
0,1,1,99,7,10447
0,1,1,0,4,10448
0,1,1,0,6,10449
2,1,1,0,7,10450
0,1,1,0,7,10451
3,1,1,99,1,10452
3,1,1,99,6,10453
4,1,1,0,3,10454
4,1,2,99,5,10455
0,1,1,0,7,10456
9,1,1,99,2,10457
9,1,1,0,1,10458
3,1,1,99,7,10459
4,1,1,99,3,10460
0,1,1,99,4,10461
3,1,1,0,5,10462
0,1,1,99,5,10463
0,1,1,3,4,10464
0,1,1,99,1,10465
9,1,1,99,2,10466
0,1,1,0,7,10467
0,1,1,99,4,10468
0,1,1,99,1,10469
0,1,1,99,6,10470
0,1,1,0,2,10471
0,1,1,0,3,10472
0,1,>2,198,6,10473
0,1,1,92,2,10474
0,1,1,0,6,10475
0,1,1,10,7,10476
0,1,1,99,2,10477
0,1,1,1,5,10478
3,1,1,0,6,10479
9,1,1,0,7,10480
0,1,1,99,1,10481
0,1,1,99,1,10482
0,1,1,99,7,10483
0,1,1,0,6,10484
3,1,1,0,7,10485
0,1,1,0,3,10486
0,1,1,99,3,10487
3,1,1,0,3,10488
0,1,1,0,6,10489
0,1,2,0,6,10490
0,1,1,0,7,10491
0,1,1,99,2,10492
3,1,1,99,2,10493
0,1,1,0,2,10494
3,1,1,0,1,10495
0,1,1,99,4,10496
0,1,1,0,3,10497
0,1,1,0,6,10498
4,1,1,0,7,10499
0,1,1,0,5,10500
9,1,1,99,7,10501
0,1,1,0,1,10502
4,1,1,0,4,10503
3,1,1,0,4,10504
0,1,1,99,5,10505
9,1,1,0,5,10506
9,1,1,99,1,10507
3,1,1,99,1,10508
3,1,1,99,1,10509
0,1,1,99,1,10510
0,1,1,99,2,10511
0,1,1,99,2,10512
3,1,1,99,2,10513
0,1,1,0,2,10514
9,1,1,99,4,10515
0,1,1,0,5,10516
0,1,1,3,7,10517
3,1,1,0,3,10518
0,1,2,99,6,10519
0,1,1,0,6,10520
0,1,1,99,3,10521
0,1,1,5,2,10522
0,1,2,0,7,10523
0,1,1,99,3,10524
0,1,1,0,5,10525
0,1,1,0,7,10526
0,1,1,99,7,10527
0,1,1,0,1,10528
0,1,1,0,5,10529
9,1,1,99,6,10530
3,1,1,0,1,10531
0,1,1,99,2,10532
0,1,1,0,2,10533
0,1,1,99,4,10534
0,1,1,0,5,10535
0,1,1,99,6,10536
0,1,1,99,5,10537
12,1,1,198,1,10538
0,1,1,99,5,10539
9,1,1,0,6,10540
0,1,2,99,3,10541
4,1,1,99,5,10542
9,1,1,99,7,10543
0,1,1,0,2,10544
0,1,1,99,2,10545
0,1,1,92,4,10546
0,1,1,0,4,10547
0,1,1,99,5,10548
3,1,1,99,5,10549
0,1,1,0,7,10550
3,1,1,99,7,10551
0,1,1,0,7,10552
3,1,1,99,1,10553
3,1,1,0,4,10554
0,1,1,99,4,10555
9,1,1,99,5,10556
0,1,1,99,5,10557
0,1,1,99,6,10558
9,1,1,99,6,10559
3,1,1,99,7,10560
3,1,1,0,1,10561
9,1,1,24,1,10562
0,1,1,5,4,10563
0,1,1,0,5,10564
0,1,1,0,6,10565
0,1,1,0,6,10566
18,1,1,99,6,10567
