ST_CASE,SUMSPEEDREL,STATE,FATAL_COUNT_x,SUMMDRDSTRD,DAY_WEEK,HOUR,BODY_TYP
10455,4,1,2,99,5,20,4
10456,0,1,1,0,7,9,31
10457,9,1,1,99,2,13,15
10458,9,1,1,0,1,14,15
10459,3,1,1,99,7,2,3
10460,4,1,1,99,3,10,4
10461,0,1,1,99,4,23,15
10462,3,1,1,0,5,19,80
10463,0,1,1,99,5,9,3
10464,0,1,1,3,4,14,31
10465,0,1,1,99,1,20,14
10466,9,1,1,99,2,12,66
10467,0,1,1,0,7,12,6
10468,0,1,1,99,4,13,66
10469,0,1,1,99,1,15,4
10470,0,1,1,99,6,13,66
10471,0,1,1,0,2,3,4
10472,0,1,1,0,3,7,4
10473,0,1,>2,198,6,11,4
10474,0,1,1,92,2,8,21
10475,0,1,1,0,6,22,14
10476,0,1,1,10,7,8,30
10477,0,1,1,99,2,10,14
10478,0,1,1,1,5,12,31
10479,3,1,1,0,6,4,30
10480,9,1,1,0,7,19,4
10481,0,1,1,99,1,15,15
10482,0,1,1,99,1,11,4
10483,0,1,1,99,7,15,4
10484,0,1,1,0,6,16,40
10485,3,1,1,0,7,21,4
10486,0,1,1,0,3,18,31
10487,0,1,1,99,3,22,4
10488,3,1,1,0,3,19,16
10489,0,1,1,0,6,21,20
10490,0,1,2,0,6,19,4
10491,0,1,1,0,7,3,14
10492,0,1,1,99,2,17,5
10493,3,1,1,99,2,18,4
10494,0,1,1,0,2,15,80
10495,3,1,1,0,1,21,4
10496,0,1,1,99,4,22,31
10497,0,1,1,0,3,5,66
10498,0,1,1,0,6,22,31
10499,4,1,1,0,7,18,31
10500,0,1,1,0,5,20,4
10501,9,1,1,99,7,1,31
10502,0,1,1,0,1,20,6
10503,4,1,1,0,4,21,66
10504,3,1,1,0,4,22,4
10505,0,1,1,99,5,9,5
10506,9,1,1,0,5,17,4
10507,9,1,1,99,1,23,4
10508,3,1,1,99,1,4,31
10509,3,1,1,99,1,3,80
10510,0,1,1,99,1,11,31
10511,0,1,1,99,2,0,14
10512,0,1,1,99,2,9,66
10513,3,1,1,99,2,17,4
10514,0,1,1,0,2,1,31
10515,9,1,1,99,4,19,4
10516,0,1,1,0,5,11,20
10517,0,1,1,3,7,0,14
10518,3,1,1,0,3,23,14
10519,0,1,2,99,6,21,30
10520,0,1,1,0,6,22,20
10521,0,1,1,99,3,14,30
10522,0,1,1,5,2,12,15
10523,0,1,2,0,7,3,4
10524,0,1,1,99,3,8,31
10525,0,1,1,0,5,11,4
10526,0,1,1,0,7,21,15
10527,0,1,1,99,7,22,31
10528,0,1,1,0,1,0,14
10529,0,1,1,0,5,5,2
10530,9,1,1,99,6,1,80
10531,3,1,1,0,1,22,4
10532,0,1,1,99,2,5,30
10533,0,1,1,0,2,21,31
10534,0,1,1,99,4,5,14
10535,0,1,1,0,5,9,4
10536,0,1,1,99,6,4,6
10537,0,1,1,99,5,14,14
10538,12,1,1,198,1,1,15
10539,0,1,1,99,5,4,4
10540,9,1,1,0,6,23,31
10541,0,1,2,99,3,5,14
10542,4,1,1,99,5,16,4
10543,9,1,1,99,7,21,4
10544,0,1,1,0,2,18,14
10545,0,1,1,99,2,13,4
10546,0,1,1,92,4,7,4
10547,0,1,1,0,4,19,4
10548,0,1,1,99,5,11,20
10549,3,1,1,99,5,11,31
10550,0,1,1,0,7,4,21
10551,3,1,1,99,7,19,3
10552,0,1,1,0,7,20,30
10553,3,1,1,99,1,4,4
10554,3,1,1,0,4,15,80
10555,0,1,1,99,4,19,80
10556,9,1,1,99,5,13,5
10557,0,1,1,99,5,22,4
10558,0,1,1,99,6,8,4
10559,9,1,1,99,6,22,99
10560,3,1,1,99,7,9,4
10561,3,1,1,0,1,13,3
10562,9,1,1,24,1,14,80
10563,0,1,1,5,4,15,31
10564,0,1,1,0,5,19,4
10565,0,1,1,0,6,22,66
10566,0,1,1,0,6,11,14
10567,18,1,1,99,6,17,31
10568,9,1,1,99,7,3,4
10569,9,1,1,99,7,3,99
10570,0,1,1,99,1,0,4
10571,3,1,1,0,2,13,31
10572,0,1,1,99,2,2,14
10573,3,1,1,99,6,0,15
10574,0,1,1,0,6,18,30
10575,3,1,1,99,7,5,31
10576,9,1,1,0,4,4,4
10577,0,1,1,99,1,16,80
10578,9,1,1,0,6,20,4
10579,3,1,1,0,3,9,6
10580,0,1,1,99,3,8,66
10581,0,1,1,99,3,14,4
10582,0,1,1,0,5,2,4
10583,0,1,1,99,4,7,4
10584,3,1,1,0,1,20,4
10585,0,1,1,0,2,5,14
10586,3,1,1,0,5,18,4
10587,4,1,1,99,2,6,6
10588,0,1,1,14,3,21,15
10589,3,1,1,99,5,7,14
10590,0,1,1,99,6,23,99
10591,0,1,1,6,2,19,15
10592,3,1,1,0,7,2,31
10593,4,1,2,99,1,11,4
10594,0,1,1,0,2,11,14
10595,9,1,1,99,4,11,30
10596,0,1,1,99,5,12,14
10597,0,1,1,0,2,18,30
10598,9,1,1,99,2,9,63
10599,0,1,1,0,2,17,14
10600,0,1,1,0,3,15,4
10601,0,1,1,198,5,5,3
10602,4,1,1,99,4,7,14
10603,0,1,1,3,6,0,4
10604,0,1,1,99,5,17,4
10605,0,1,1,99,5,6,30
10606,9,1,1,99,1,22,4
10607,3,1,1,99,3,19,30
10608,3,1,1,17,2,10,66
10609,0,1,1,0,5,19,14
10610,0,1,1,99,5,8,15
10611,9,1,>2,99,1,15,21
10612,4,1,1,0,1,15,80
10613,4,1,1,99,6,2,31
10614,0,1,1,198,7,5,4
10615,0,1,1,99,7,23,14
10616,0,1,1,99,1,1,30
10617,3,1,1,99,1,2,4
10618,0,1,1,0,2,16,31
10619,0,1,1,0,7,14,4
10620,0,1,1,0,1,0,30
10621,3,1,1,99,1,2,31
10622,0,1,1,0,2,6,50
10623,0,1,1,0,4,8,20
10624,3,1,1,0,1,17,6
10625,3,1,1,0,1,2,2
10626,0,1,1,0,4,20,5
10627,0,1,1,0,6,13,63
10628,0,1,1,99,6,14,4
10629,9,1,1,99,7,17,99
10630,9,1,1,0,1,2,4
10631,9,1,1,99,5,14,4
10632,3,1,1,0,5,16,2
10633,0,1,1,0,6,21,6
10634,9,1,1,99,7,18,4
10635,0,1,1,0,7,20,4
10636,0,1,1,99,1,10,4
10637,3,1,1,0,1,1,2
10638,9,1,1,99,7,18,4
10639,0,1,1,0,4,18,14
10640,0,1,1,99,5,9,31
10641,0,1,1,99,6,21,4
10642,3,1,1,99,6,0,4
10643,9,1,1,99,6,0,31
10644,0,1,2,99,2,21,4
10645,0,1,1,0,2,7,62
10646,0,1,1,99,6,7,66
10647,0,1,1,0,6,17,4
10648,3,1,1,0,7,6,4
10649,0,1,1,99,6,12,6
10650,9,1,1,99,7,1,14
10651,3,1,1,99,5,20,4
10652,0,1,1,0,1,19,31
10653,9,1,1,99,5,99,4
10654,0,1,1,99,3,6,31
10655,0,1,1,99,4,15,4
10656,3,1,>2,0,6,22,31
10657,3,1,1,99,1,10,80
10658,9,1,1,99,3,19,5
10659,9,1,1,99,5,1,31
10660,0,1,1,0,6,5,31
10661,0,1,1,0,6,17,4
10662,0,1,1,99,7,18,4
10663,0,1,1,0,7,23,90
10664,9,1,1,99,7,17,4
10665,0,1,1,99,1,2,5
10666,3,1,1,0,2,5,4
10667,9,1,1,99,2,18,4
10668,0,1,1,99,3,7,4
10669,0,1,1,0,4,6,30
10670,0,1,1,0,5,22,2
10671,0,1,1,0,7,15,4
10672,0,1,1,99,1,6,4
10673,0,1,1,0,4,0,14
10674,0,1,1,0,7,23,6
10675,0,1,1,0,4,17,66
10676,9,1,1,99,1,10,30
10677,0,1,1,99,3,14,4
10678,0,1,2,99,3,18,14
10679,3,1,1,99,5,10,4
10680,0,1,1,99,4,13,4
10681,0,1,1,99,6,21,1
10682,3,1,1,0,7,21,4
10683,12,1,1,198,1,16,80
10684,3,1,1,0,4,17,80
10685,4,1,1,99,7,7,31
10686,0,1,1,0,7,10,31
10687,3,1,1,0,5,21,4
10688,0,1,1,0,5,5,31
10689,0,1,1,99,6,9,31
10690,0,1,1,0,4,17,92
10691,0,1,1,99,1,14,80
10692,3,1,1,0,1,1,31
10693,0,1,1,99,1,1,14
10694,9,1,1,92,2,16,15
10695,0,1,1,99,3,17,4
10696,4,1,1,99,4,3,4
10697,0,1,1,198,4,10,4
10698,0,1,1,99,6,18,1
10699,0,1,1,6,3,4,4
10700,9,1,1,0,7,6,4
10701,0,1,>2,99,4,7,4
10702,0,1,1,0,5,21,66
10703,9,1,1,99,7,11,30
10704,0,1,2,99,5,17,14
10705,3,1,1,99,1,12,14
10706,0,1,1,0,2,2,2
10707,0,1,1,99,3,7,4
10708,9,1,1,99,4,18,99
10709,0,1,1,0,3,7,3
10710,3,1,>2,0,7,1,15
10711,0,1,1,0,4,18,31
10712,0,1,1,0,6,14,2
10713,0,1,1,99,4,10,4
10714,3,1,1,99,7,19,5
10715,0,1,1,12,2,22,15
10716,3,1,1,99,4,21,31
10717,0,1,1,0,5,6,21
10718,3,1,1,100,4,7,31
10719,0,1,1,0,7,3,14
10720,9,1,2,99,4,12,4
10721,0,1,1,99,4,18,66
10722,0,1,1,0,7,15,4
10723,3,1,1,99,7,18,4
10724,4,1,1,99,2,13,31
10725,0,1,1,0,5,0,30
10726,3,1,1,99,5,16,5
10727,0,1,1,0,6,12,15
10728,0,1,1,7,7,1,4
10729,3,1,1,99,7,6,4
10730,0,1,1,0,7,22,31
10731,0,1,1,0,1,3,31
10732,0,1,1,99,1,4,4
10733,3,1,1,0,1,15,4
10734,0,1,1,0,1,20,4
10735,9,1,1,99,2,1,99
10736,0,1,1,0,5,6,14
10737,0,1,1,99,1,16,20
10738,0,1,1,0,4,18,14
10739,0,1,1,99,5,13,90
10740,3,1,1,0,5,17,80
10741,3,1,1,0,6,15,80
10742,0,1,1,0,6,18,80
10743,0,1,1,0,6,11,4
10744,0,1,1,99,1,18,4
10745,0,1,1,99,7,12,80
10746,0,1,1,0,5,17,4
10747,3,1,1,99,7,7,4
10748,0,1,1,0,2,20,31
10749,0,1,1,99,4,0,66
10750,0,1,1,0,4,16,4
10751,0,1,2,0,1,6,20
10752,3,1,1,0,6,6,2
10753,0,1,1,0,4,18,31
10754,0,1,1,1,3,11,20
10755,0,1,2,99,1,6,4
10756,0,1,1,0,5,17,4
10757,9,1,1,99,2,20,15
10758,16,1,1,131,1,19,20
10759,0,1,1,99,1,18,4
10760,3,1,2,99,7,11,31
10761,0,1,1,99,3,7,4
10762,18,1,2,99,1,4,31
10763,3,1,1,1,5,18,80
10764,0,1,1,0,4,4,31
10765,3,1,1,0,4,4,3
10766,0,1,1,0,6,20,4
10767,0,1,1,6,3,15,31
10768,9,1,1,99,7,21,4
10769,0,1,1,0,1,20,15
10770,0,1,1,0,3,12,66
10771,0,1,1,99,4,8,14
10772,0,1,1,0,1,9,30
10773,0,1,1,99,2,5,31
10774,0,1,1,99,6,1,4
10775,0,1,1,0,1,9,31
10776,0,1,1,99,2,16,30
10777,4,1,>2,0,7,17,2
10778,0,1,1,99,4,10,31
10779,0,1,1,0,6,15,4
10780,0,1,1,0,6,23,14
10781,0,1,1,0,7,2,2
10782,0,1,1,3,7,7,4
10783,0,1,1,0,7,18,4
10784,4,1,>2,0,6,2,4
20001,3,2,1,0,5,0,31
20002,0,2,1,3,6,20,14
20003,0,2,1,96,4,2,14
20004,9,2,1,99,7,0,31
20005,0,2,1,0,4,13,15
20006,9,2,1,99,5,18,30
20007,3,2,1,99,1,21,15
20008,9,2,1,99,6,10,14
20009,14,2,2,294,6,16,15
20010,3,2,1,99,7,99,21
20011,0,2,1,0,2,6,4
20012,3,2,1,99,1,17,30
20013,4,2,1,96,1,4,14
20014,3,2,1,99,1,14,31
20015,0,2,1,113,7,18,6
20016,0,2,1,99,7,14,31
20017,0,2,1,99,1,14,31
20018,9,2,1,99,7,14,90
20019,0,2,1,96,4,20,4
20020,4,2,1,99,1,21,90
20021,9,2,1,12,6,14,80
20022,0,2,1,0,7,8,80
20023,9,2,1,99,5,1,31
20024,3,2,1,12,7,23,90
20025,0,2,1,98,6,23,80
20026,0,2,1,99,4,16,31
20027,3,2,1,0,6,19,80
