ST_CASE,DAY_WEEK,HOUR,BODY_TYP,FATAL_LEVEL,WEATHER,FATAL_COUNT,BODY_TYP2
10687,5,21,4,1,10,1,1
10695,3,17,4,1,5,1,1
10696,4,3,4,1,2,1,1
10697,4,10,4,1,1,1,1
10698,6,18,1,1,2,1,1
10699,3,4,4,1,1,1,1
10700,7,6,4,1,10,1,1
10706,2,2,2,1,10,1,1
10707,3,7,4,1,10,1,1
10709,3,7,3,1,1,1,1
10712,6,14,2,1,1,1,1
10713,4,10,4,1,10,1,1
10714,7,19,5,1,1,1,1
10722,7,15,4,1,1,1,1
10723,7,18,4,1,10,1,1
10726,5,16,5,1,1,1,1
10728,7,1,4,1,2,1,1
10729,7,6,4,1,10,1,1
10732,1,4,4,1,10,1,1
10733,1,15,4,1,10,1,1
10734,1,20,4,1,10,1,1
10743,6,11,4,1,1,1,1
10744,1,18,4,1,1,1,1
10746,5,17,4,1,1,1,1
10747,7,7,4,1,10,1,1
10750,4,16,4,1,1,1,1
10752,6,6,2,1,10,1,1
10756,5,17,4,1,1,1,1
10759,1,18,4,1,1,1,1
10761,3,7,4,1,2,1,1
10765,4,4,3,1,1,1,1
10766,6,20,4,1,1,1,1
10768,7,21,4,1,1,1,1
10774,6,1,4,1,1,1,1
10779,6,15,4,1,10,1,1
10781,7,2,2,1,1,1,1
10782,7,7,4,1,1,1,1
10783,7,18,4,1,1,1,1
20011,2,6,4,1,1,1,1
20015,7,18,6,1,10,1,1
20019,4,20,4,1,1,1,1
20041,1,0,2,1,10,1,1
20042,2,21,6,1,1,1,1
40002,5,9,4,1,10,1,1
40003,7,14,4,1,1,1,1
40005,2,6,4,1,1,1,1
40007,6,8,4,1,1,1,1
40008,6,19,1,1,1,1,1
40009,7,5,5,1,1,1,1
40012,3,19,2,1,10,1,1
40017,6,13,4,1,1,1,1
40023,7,11,4,1,1,1,1
40025,2,0,4,1,1,1,1
40033,6,19,4,1,1,1,1
40036,5,15,4,1,1,1,1
40037,6,0,4,1,1,1,1
40040,1,2,6,1,1,1,1
40047,7,18,4,1,10,1,1
40049,5,17,4,1,10,1,1
40052,7,21,1,1,1,1,1
40053,2,16,4,1,1,1,1
40054,7,17,4,1,10,1,1
40058,1,0,4,1,1,1,1
40059,4,21,4,1,1,1,1
40064,3,10,4,1,1,1,1
40067,5,9,4,1,1,1,1
40070,6,7,2,1,1,1,1
40074,4,20,4,1,1,1,1
40077,6,16,4,1,1,1,1
40079,1,20,4,1,1,1,1
40080,1,21,4,1,1,1,1
40083,3,6,4,1,1,1,1
40085,4,15,4,1,1,1,1
40086,5,19,4,1,1,1,1
40089,6,16,6,1,10,1,1
40091,1,17,2,1,1,1,1
40097,2,20,4,1,10,1,1
40098,5,8,4,1,10,1,1
40099,3,10,4,1,1,1,1
40110,1,2,4,1,1,1,1
40111,1,12,6,1,1,1,1
40113,5,13,4,1,1,1,1
40117,1,1,4,1,1,1,1
40126,3,1,4,1,1,1,1
40128,7,1,2,1,1,1,1
40139,5,21,4,1,1,1,1
40142,2,18,6,1,1,1,1
40144,4,0,4,1,1,1,1
40146,4,16,4,1,10,1,1
40147,5,5,2,1,10,1,1
40149,5,20,4,1,1,1,1
40155,2,6,4,1,1,1,1
40157,2,22,4,1,1,1,1
40163,4,17,4,1,10,1,1
40164,6,21,4,1,1,1,1
40169,3,6,2,1,1,1,1
40171,5,23,4,1,1,1,1
40173,1,2,4,1,1,1,1
40174,1,6,4,1,1,1,1
40179,3,14,4,1,1,1,1
40185,1,23,1,1,10,1,1
40187,2,8,2,1,1,1,1
40188,3,4,4,1,1,1,1
40189,5,22,1,1,1,1,1
40193,7,17,4,1,1,1,1
40200,7,5,4,1,1,1,1
40203,1,23,2,1,1,1,1
40204,2,13,4,1,1,1,1
40211,4,14,2,1,1,1,1
40212,4,19,4,1,1,1,1
40219,1,14,4,1,1,1,1
40221,3,7,4,1,1,1,1
40222,3,12,4,1,1,1,1
40223,3,19,6,1,1,1,1
40224,5,16,2,1,1,1,1
40225,6,13,4,1,1,1,1
40227,7,9,4,1,1,1,1
40234,7,6,4,1,1,1,1
40237,2,8,4,1,1,1,1
40238,3,11,4,1,1,1,1
40241,4,8,4,1,1,1,1
40249,5,14,4,1,10,1,1
40251,6,3,4,1,1,1,1
40261,4,20,4,1,1,1,1
40265,1,6,4,1,1,1,1
40266,1,23,4,1,1,1,1
40270,6,16,4,1,1,1,1
40271,7,1,4,1,1,1,1
40276,6,7,2,1,1,1,1
40277,6,20,4,1,1,1,1
40286,3,14,4,1,1,1,1
40287,4,1,2,1,1,1,1
40290,6,18,2,1,2,1,1
40293,1,5,4,1,1,1,1
40294,2,11,4,1,1,1,1
40303,2,17,4,1,1,1,1
40314,6,0,4,1,1,1,1
40317,3,9,4,1,1,1,1
40335,4,13,4,1,1,1,1
40340,6,22,4,1,10,1,1
40343,7,4,2,1,1,1,1
40346,7,2,3,1,1,1,1
40351,6,16,4,1,1,1,1
40354,2,15,4,1,1,1,1
40355,3,11,4,1,1,1,1
40358,5,1,4,1,1,1,1
40360,7,4,4,1,10,1,1
40361,7,16,4,1,1,1,1
40362,7,20,4,1,1,1,1
40365,1,16,2,1,1,1,1
40366,1,17,4,1,1,1,1
40367,1,17,4,1,1,1,1
40377,7,9,4,1,1,1,1
40381,6,13,3,1,1,1,1
40383,1,1,4,1,1,1,1
40385,2,15,6,1,1,1,1
40387,4,6,4,1,1,1,1
40395,2,18,4,1,10,1,1
40400,5,0,2,1,1,1,1
40401,5,1,4,1,1,1,1
40404,1,20,3,1,1,1,1
40413,6,15,1,1,1,1,1
40415,7,20,4,1,1,1,1
40417,5,22,4,1,1,1,1
40419,6,20,5,1,10,1,1
40420,7,20,4,1,1,1,1
40427,6,9,4,1,10,1,1
40429,1,7,4,1,1,1,1
40430,3,3,2,1,1,1,1
40433,5,16,4,1,1,1,1
40439,4,1,4,1,10,1,1
40442,4,20,4,1,10,1,1
40443,6,23,2,1,1,1,1
40444,7,5,1,1,1,1,1
40451,3,23,4,1,10,1,1
40452,4,17,5,1,10,1,1
40454,6,2,2,1,1,1,1
40462,4,18,4,1,1,1,1
40463,6,19,1,1,1,1,1
40466,5,4,2,1,1,1,1
40473,1,3,4,1,1,1,1
40491,2,18,4,1,2,1,1
40493,5,12,4,1,1,1,1
40494,4,5,4,1,1,1,1
40496,2,7,4,1,1,1,1
40500,2,21,5,1,1,1,1
40501,2,22,4,1,1,1,1
40502,2,22,4,1,1,1,1
40506,5,11,4,1,1,1,1
40510,3,10,5,1,10,1,1
40511,3,12,4,1,1,1,1
40515,5,12,5,1,1,1,1
40518,1,3,2,1,1,1,1
40520,2,7,4,1,1,1,1
40522,5,5,4,1,1,1,1
40531,1,20,4,1,1,1,1
40532,3,7,4,1,1,1,1
40550,6,15,4,1,10,1,1
40565,7,10,4,1,1,1,1
40569,2,20,4,1,10,1,1
40570,3,6,4,1,1,1,1
40575,7,23,6,1,10,1,1
40576,7,23,4,1,1,1,1
40577,3,14,4,1,1,1,1
40578,3,20,2,1,1,1,1
40580,4,21,4,1,1,1,1
40582,2,23,3,1,10,1,1
40584,7,9,4,1,1,1,1
40585,7,18,1,1,1,1,1
40586,3,5,4,1,1,1,1
40587,4,12,4,1,1,1,1
40588,1,20,2,1,1,1,1
40589,6,14,3,1,1,1,1
40591,4,11,4,1,1,1,1
40593,3,18,4,1,1,1,1
40594,3,22,4,1,10,1,1
40597,5,19,4,1,1,1,1
40602,6,6,4,1,1,1,1
40612,7,21,4,1,1,1,1
40613,1,1,4,1,1,1,1
40615,2,22,4,1,1,1,1
40617,5,23,4,1,10,1,1
40620,7,21,9,1,1,1,1
40629,7,5,4,1,1,1,1
40631,2,13,6,1,1,1,1
40638,1,8,5,1,2,1,1
40640,1,2,4,1,10,1,1
40642,2,18,4,1,1,1,1
40646,5,12,4,1,1,1,1
40648,5,19,4,1,1,1,1
40649,6,15,4,1,1,1,1
40654,2,18,1,1,1,1,1
40655,4,19,3,1,10,1,1
40658,6,6,4,1,1,1,1
40661,7,3,4,1,1,1,1
40662,7,9,6,1,1,1,1
40663,7,11,4,1,1,1,1
40668,6,2,9,1,1,1,1
40669,2,14,5,1,1,1,1
40670,2,16,4,1,10,1,1
40672,2,11,4,1,1,1,1
40673,3,10,4,1,2,1,1
40676,6,16,4,1,10,1,1
40677,7,16,4,1,1,1,1
40682,3,1,4,1,1,1,1
40684,3,19,4,1,1,1,1
40689,1,6,6,1,2,1,1
40690,1,17,4,1,2,1,1
40691,1,17,2,1,1,1,1
40692,2,17,4,1,10,1,1
40693,3,17,4,1,1,1,1
40694,4,1,4,1,1,1,1
40696,6,13,1,1,1,1,1
40697,7,0,4,1,1,1,1
40701,3,18,4,1,10,1,1
40703,2,22,4,1,1,1,1
40705,7,19,4,1,2,1,1
40707,4,11,2,1,1,1,1
40708,2,18,4,1,1,1,1
40713,2,8,4,1,10,1,1
40729,1,22,4,1,10,1,1
40731,5,15,4,1,1,1,1
40732,2,5,4,1,1,1,1
40734,2,6,5,1,10,1,1
40747,3,20,4,1,10,1,1
40756,6,3,2,1,1,1,1
40764,4,17,1,1,1,1,1
40765,4,17,4,1,1,1,1
40768,1,9,6,1,1,1,1
40769,1,11,2,1,1,1,1
40772,6,11,4,1,1,1,1
40797,5,18,4,1,1,1,1
40798,3,7,6,1,1,1,1
40811,5,16,4,1,1,1,1
40813,1,12,4,1,2,1,1
40815,2,16,4,1,1,1,1
40827,6,9,4,1,1,1,1
40828,3,7,1,1,10,1,1
40831,7,18,4,1,1,1,1
50002,7,23,6,1,1,1,1
50003,1,21,6,1,1,1,1
50004,2,4,4,1,1,1,1
50012,4,21,6,1,1,1,1
50014,7,14,4,1,1,1,1
50019,2,21,2,1,1,1,1
50021,4,15,4,1,1,1,1
50027,2,21,4,1,1,1,1
50031,6,5,2,1,1,1,1
50032,7,12,2,1,1,1,1
50037,4,14,4,1,1,1,1
50046,2,19,4,1,1,1,1
50047,2,20,4,1,1,1,1
50050,3,6,4,1,1,1,1
50053,5,5,4,1,1,1,1
50056,7,15,4,1,1,1,1
50057,7,23,4,1,1,1,1
50060,4,6,4,1,1,1,1
50066,1,14,2,1,2,1,1
50073,2,17,4,1,1,1,1
50077,6,10,4,1,1,1,1
50081,2,20,6,1,2,1,1
50085,6,8,5,1,5,1,1
50091,3,6,4,1,1,1,1
50092,5,0,4,1,1,1,1
50094,5,15,6,1,1,1,1
50099,2,16,2,1,1,1,1
50101,4,12,4,1,1,1,1
50115,6,20,2,1,1,1,1
50120,3,15,5,1,1,1,1
